"","sub","sulci","dice","method","type"
"334",114924,"spls",0.769685039,"CNN","prominent sulci"
"335",128127,"spls",0.887871854,"CNN","prominent sulci"
"336",133928,"spls",0.386877828,"CNN","prominent sulci"
"337",144125,"spls",0.777033493,"CNN","prominent sulci"
"338",146937,"spls",0.798810704,"CNN","prominent sulci"
"339",151425,"spls",0.813786008,"CNN","prominent sulci"
"340",151829,"spls",0.785046729,"CNN","prominent sulci"
"341",164939,"spls",0.90527838,"CNN","prominent sulci"
"342",176744,"spls",0.864456079,"CNN","prominent sulci"
"343",180937,"spls",0.789895256,"CNN","prominent sulci"
"344",185947,"spls",0.846980976,"CNN","prominent sulci"
"345",214019,"spls",0.851540616,"CNN","prominent sulci"
"346",268749,"spls",0.922357343,"CNN","prominent sulci"
"347",365343,"spls",0.922194922,"CNN","prominent sulci"
"348",380036,"spls",0.85316847,"CNN","prominent sulci"
"349",517239,"spls",0.785301837,"CNN","prominent sulci"
"350",522434,"spls",0.82440678,"CNN","prominent sulci"
"351",531536,"spls",0.920838184,"CNN","prominent sulci"
"352",566454,"spls",0.430066603,"CNN","prominent sulci"
"353",585256,"spls",0.899135447,"CNN","prominent sulci"
"354",622236,"spls",0.728173375,"CNN","prominent sulci"
"355",644044,"spls",0.911804613,"CNN","prominent sulci"
"356",679770,"spls",0.780141844,"CNN","prominent sulci"
"357",687163,"spls",0.726609964,"CNN","prominent sulci"
"358",867468,"spls",0.82247191,"CNN","prominent sulci"
"359",910241,"spls",0.920677966,"CNN","prominent sulci"
"360",959574,"spls",0.607706886,"CNN","prominent sulci"
"361",100206,"pos",0.816689847,"CNN","prominent sulci"
"362",100307,"pos",0.754673789,"CNN","prominent sulci"
"363",100408,"pos",0.828869467,"CNN","prominent sulci"
"364",100610,"pos",0.785512458,"CNN","prominent sulci"
"365",101006,"pos",0.867266592,"CNN","prominent sulci"
"366",101107,"pos",0.73596523,"CNN","prominent sulci"
"367",101309,"pos",0.753363229,"CNN","prominent sulci"
"368",101410,"pos",0.791066706,"CNN","prominent sulci"
"369",101915,"pos",0.79389313,"CNN","prominent sulci"
"370",102008,"pos",0.702253855,"CNN","prominent sulci"
"371",102311,"pos",0.88315042,"CNN","prominent sulci"
"372",102513,"pos",0.592737978,"CNN","prominent sulci"
"373",102816,"pos",0.709376326,"CNN","prominent sulci"
"374",103111,"pos",0.869604317,"CNN","prominent sulci"
"375",103414,"pos",0.748407643,"CNN","prominent sulci"
"376",103515,"pos",0.605678233,"CNN","prominent sulci"
"377",103818,"pos",0.590747331,"CNN","prominent sulci"
"378",104012,"pos",0.756170981,"CNN","prominent sulci"
"379",104416,"pos",0.550019019,"CNN","prominent sulci"
"380",104820,"pos",0.719889248,"CNN","prominent sulci"
"381",105014,"pos",0.912235192,"CNN","prominent sulci"
"382",105115,"pos",0.762973352,"CNN","prominent sulci"
"383",105216,"pos",0.7194005,"CNN","prominent sulci"
"384",105620,"pos",0.694316436,"CNN","prominent sulci"
