sub,hemi,label,total_surface_area_.mm.2.,cortical_thickness_mean,dataset,group,group_hemi,sulcal_depth_mm
002_S_4262,rh,mcgs,591,2.141,ADNI,older adult,oa rh,14.4220840333172
002_S_4262,rh,pos,720,2.402,ADNI,older adult,oa rh,19.5079258575208
002_S_4262,rh,prculs,413,2.128,ADNI,older adult,oa rh,15.4791676750718
002_S_4262,rh,prcus-a,177,2.419,ADNI,older adult,oa rh,8.55032257078103
002_S_4262,rh,prcus-i,148,2.314,ADNI,older adult,oa rh,4.23139901427199
002_S_4262,rh,prcus-p,143,2.227,ADNI,older adult,oa rh,8.39576246154959
002_S_4262,rh,spls,364,2.598,ADNI,older adult,oa rh,10.8972703114727
002_S_4262,rh,sps,848,2.032,ADNI,older adult,oa rh,15.7194596897881
002_S_4262,rh,sspls,14,2.555,ADNI,older adult,oa rh,2.73568282663038
002_S_4270,lh,icgs-p,44,2.44,ADNI,older adult,oa lh,2.68901134894129
002_S_4270,lh,ifrms,160,2.897,ADNI,older adult,oa lh,3.46703107104166
002_S_4270,lh,mcgs,775,1.954,ADNI,older adult,oa lh,13.3342851004629
002_S_4270,lh,pos,1180,2.133,ADNI,older adult,oa lh,19.4001858610537
002_S_4270,lh,prculs,365,1.832,ADNI,older adult,oa lh,12.4127188668227
002_S_4270,lh,prcus-a,370,2.038,ADNI,older adult,oa lh,11.5492299095264
002_S_4270,lh,prcus-i,62,2.548,ADNI,older adult,oa lh,2.30259579186974
002_S_4270,lh,prcus-p,118,2.344,ADNI,older adult,oa lh,4.17400182706979
002_S_4270,lh,spls,354,2.557,ADNI,older adult,oa lh,8.3797024214978
002_S_4270,lh,sspls,50,2.904,ADNI,older adult,oa lh,3.52381393901064
002_S_4270,rh,icgs-p,67,3.143,ADNI,older adult,oa rh,2.04087435569081
002_S_4270,rh,ifrms,30,3.058,ADNI,older adult,oa rh,1.82203142440901
002_S_4270,rh,mcgs,684,2.121,ADNI,older adult,oa rh,14.6301354043321
002_S_4270,rh,pos,795,2.268,ADNI,older adult,oa rh,18.7169214110927
002_S_4270,rh,prculs,390,1.801,ADNI,older adult,oa rh,14.6082574448023
002_S_4270,rh,prcus-a,132,2.482,ADNI,older adult,oa rh,8.08244748142442
002_S_4270,rh,prcus-i,171,2.268,ADNI,older adult,oa rh,4.96487527513015
002_S_4270,rh,prcus-p,73,2.81,ADNI,older adult,oa rh,3.46972541029994
002_S_4270,rh,spls,276,2.781,ADNI,older adult,oa rh,5.92776653623761
002_S_4270,rh,sps,98,2.229,ADNI,older adult,oa rh,3.25195798569826
002_S_6007,lh,ifrms,23,3.312,ADNI,older adult,oa lh,1.24641963151868
002_S_6007,lh,mcgs,1043,1.984,ADNI,older adult,oa lh,15.3963711703122
002_S_6007,lh,pos,860,2.114,ADNI,older adult,oa lh,20.9289684967674
002_S_6007,lh,prculs,463,1.699,ADNI,older adult,oa lh,17.7715225357709
002_S_6007,lh,prcus-a,70,2.575,ADNI,older adult,oa lh,5.67136773498768
002_S_6007,lh,prcus-i,430,2.243,ADNI,older adult,oa lh,10.9667754552543
002_S_6007,lh,prcus-p,194,2.295,ADNI,older adult,oa lh,7.53594872611656
002_S_6007,lh,spls,399,2.582,ADNI,older adult,oa lh,10.9369972863726
002_S_6007,lh,sps,461,1.753,ADNI,older adult,oa lh,10.8094463985383
002_S_6007,rh,icgs-p,41,2.587,ADNI,older adult,oa rh,2.51401232910612
002_S_6007,rh,ifrms,74,2.537,ADNI,older adult,oa rh,3.80257121568083
002_S_6007,rh,mcgs,478,1.814,ADNI,older adult,oa rh,12.793908744252
002_S_6007,rh,pos,1038,2.001,ADNI,older adult,oa rh,18.6788023376697
002_S_6007,rh,prculs,402,2.533,ADNI,older adult,oa rh,12.2559682686291
002_S_6007,rh,prcus-a,637,1.914,ADNI,older adult,oa rh,13.0842720122331
002_S_6007,rh,prcus-i,249,2.273,ADNI,older adult,oa rh,8.74432366680908
002_S_6007,rh,prcus-p,126,2.616,ADNI,older adult,oa rh,4.78754000746227
002_S_6007,rh,spls,526,2.321,ADNI,older adult,oa rh,13.7345739603845
002_S_6007,rh,sspls,19,3.079,ADNI,older adult,oa rh,2.06453932138797
002_S_6009,lh,ifrms,69,2.805,ADNI,older adult,oa lh,2.1826610968743
002_S_6009,lh,mcgs,424,2.11,ADNI,older adult,oa lh,14.4220888453041
002_S_6009,lh,pos,1405,2.376,ADNI,older adult,oa lh,25.0443410421373
002_S_6009,lh,prculs,301,1.942,ADNI,older adult,oa lh,16.2873673525797
002_S_6009,lh,prcus-a,285,2.492,ADNI,older adult,oa lh,10.3771942886727
002_S_6009,lh,prcus-i,467,2.395,ADNI,older adult,oa lh,13.7973887269211
002_S_6009,lh,prcus-p,420,2.349,ADNI,older adult,oa lh,9.92609282253985
002_S_6009,lh,spls,418,2.452,ADNI,older adult,oa lh,14.1510718982873
002_S_6009,rh,icgs-p,71,3.131,ADNI,older adult,oa rh,6.0717109942652
002_S_6009,rh,ifrms,38,3.037,ADNI,older adult,oa rh,2.99215355146528
002_S_6009,rh,mcgs,688,2.088,ADNI,older adult,oa rh,16.303311268128
002_S_6009,rh,pos,1442,2.444,ADNI,older adult,oa rh,24.3026698003821
002_S_6009,rh,prculs,84,2.655,ADNI,older adult,oa rh,11.6276338364591
002_S_6009,rh,prcus-a,72,2.307,ADNI,older adult,oa rh,8.02621801089938
002_S_6009,rh,prcus-i,280,2.201,ADNI,older adult,oa rh,13.8651953074062
002_S_6009,rh,prcus-p,262,2.137,ADNI,older adult,oa rh,10.4165691885439
002_S_6009,rh,spls,412,2.513,ADNI,older adult,oa rh,13.1393267220113
002_S_6009,rh,sps,420,2.015,ADNI,older adult,oa rh,11.9851065341425
002_S_6053,lh,icgs-p,14,2.904,ADNI,older adult,oa lh,1.96191822668465
002_S_6053,lh,ifrms,85,3.108,ADNI,older adult,oa lh,2.80760940946312
002_S_6053,lh,mcgs,569,2.04,ADNI,older adult,oa lh,15.9601950580605
002_S_6053,lh,pos,731,2.212,ADNI,older adult,oa lh,19.9159541445712
002_S_6053,lh,prculs,333,1.927,ADNI,older adult,oa lh,13.393519315823
002_S_6053,lh,prcus-a,508,2.136,ADNI,older adult,oa lh,13.3238157245741
002_S_6053,lh,prcus-i,273,2.279,ADNI,older adult,oa lh,4.51370684845944
002_S_6053,lh,prcus-p,405,2.027,ADNI,older adult,oa lh,10.5373793758481
002_S_6053,lh,spls,711,2.423,ADNI,older adult,oa lh,14.8414287066789
002_S_6053,lh,sps,485,1.953,ADNI,older adult,oa lh,12.5519485460492
002_S_6053,lh,sspls,33,2.937,ADNI,older adult,oa lh,2.99951715062469
002_S_6053,rh,icgs-p,93,3.116,ADNI,older adult,oa rh,4.01584577269435
002_S_6053,rh,ifrms,50,3.179,ADNI,older adult,oa rh,1.71620772125673
002_S_6053,rh,mcgs,840,2.037,ADNI,older adult,oa rh,15.0788307483181
002_S_6053,rh,pos,1038,2.344,ADNI,older adult,oa rh,19.4139588032406
002_S_6053,rh,prculs,382,2.054,ADNI,older adult,oa rh,14.0349857179182
002_S_6053,rh,prcus-a,185,2.022,ADNI,older adult,oa rh,6.2364314906407
002_S_6053,rh,prcus-i,506,2.05,ADNI,older adult,oa rh,12.4711348156137
002_S_6053,rh,prcus-p,141,2.986,ADNI,older adult,oa rh,2.16963435848025
002_S_6053,rh,spls,607,2.381,ADNI,older adult,oa rh,12.6583711215417
002_S_6053,rh,sspls,21,2.934,ADNI,older adult,oa rh,1.13941910348484
