Sulci,beta
prculs-d,-0.18335473448792153
prcus-p,1.9339874399994197
prcus-i,-0.28786232476264983
prcus-a,0.0
ifrms,-2.027764106153857
sspls-v,1.4482748833949042
mcgs,0.5006478283213783
pos,-0.0
sbps,-1.5711585558871493
prculs-d,-0.35047961521323634
prcus-p,1.903627869168362
prcus-i,-0.4914009076102655
prcus-a,0.10539897014808633
ifrms,-2.1470688128852076
sspls-v,1.5306436736837918
mcgs,0.42105668407475805
pos,-0.0
sbps,-2.020850103458177
prculs-d,-0.5237402095397645
prcus-p,1.6218940288025336
prcus-i,-0.2559752388920091
prcus-a,-0.0
ifrms,-2.279375414857903
sspls-v,1.5919406156809575
mcgs,0.5178890167180996
pos,-0.019339722214361046
sbps,-1.592858661802709
prculs-d,-0.2733004546046382
prcus-p,1.7471474451582718
prcus-i,-0.39521721731427345
prcus-a,0.0
ifrms,-2.128217568533344
sspls-v,1.5212611411478338
mcgs,0.6101544570914584
pos,0.0
sbps,-1.6774437238485658
prculs-d,-0.14995735819744863
prcus-p,1.921733180276919
prcus-i,-0.2846509118932497
prcus-a,0.03254789420175259
ifrms,-2.0467273887509743
sspls-v,1.4798678326469266
mcgs,0.506341394976169
pos,-0.0
sbps,-1.6310690372665577
prculs-d,-0.16269377972506482
prcus-p,1.9355356068840006
prcus-i,-0.2914967251499891
prcus-a,0.0
ifrms,-2.0465932270049176
sspls-v,1.437472901405763
mcgs,0.5177880984660168
pos,-0.0
sbps,-1.6418165809099394
prculs-d,-0.1464620809159705
prcus-p,1.904748944216784
prcus-i,-0.33848077701669554
prcus-a,0.0
ifrms,-2.04684203887794
sspls-v,1.4209719959588254
mcgs,0.3802964311310569
pos,0.0
sbps,-1.5992962801821016
prculs-d,0.06511544868862283
prcus-p,1.4118830062767096
prcus-i,0.0
prcus-a,0.30995153130226394
ifrms,-2.1297014374678267
sspls-v,1.1869234395513213
mcgs,0.23498769819694248
pos,-0.0
sbps,-1.6913946957110868
prculs-d,-0.17776187748469585
prcus-p,1.8958953078942282
prcus-i,-0.31058336830704647
prcus-a,0.11020059813440662
ifrms,-2.1192015450521784
sspls-v,1.3002576361673734
mcgs,0.3788891433018774
pos,-0.0
sbps,-1.7224841033776812
prculs-d,-0.03326193074758763
prcus-p,1.8786204683581547
