alpha_level,fold,RMSE,Sulci,beta,Model
0.1,17.0,6.355337566003026,sspls-v,0.4404429993740447,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,mcgs,-0.7284019888228458,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,pos,-1.0541104838065856,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,sbps,0.8652249167290362,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,prculs-d,-0.8067584380367373,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,prcus-p,-2.8654487422871076,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,prcus-i,-2.1760575070092236,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,prcus-a,-1.5307077367108,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,ifrms,-2.531798107377603,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,6.062469760058594,sspls-v,0.14621983537938835,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,mcgs,-1.202396482525431,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,pos,0.21015880808806034,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,sbps,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,prculs-d,-1.5184984824437806,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,prcus-p,-2.6661444153578953,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,prcus-i,-3.3851249627727418,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,prcus-a,-1.8882390452550097,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,ifrms,-3.100682900716638,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,6.4002067757882495,sspls-v,0.2963342409065189,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,mcgs,-0.9307760536681389,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,sbps,-0.042679738291593904,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,prculs-d,-1.5941427879843186,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,prcus-p,-2.427191508776453,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,prcus-i,-3.3804879297076553,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,prcus-a,-1.7482463692037928,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,ifrms,-2.808336174101911,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,6.523176404784686,sspls-v,0.6130463572962579,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,mcgs,-1.113764371938816,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,prculs-d,-1.6799408327821672,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,prcus-p,-2.3531262989966284,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,prcus-i,-3.560599366672807,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,prcus-a,-1.3509296150335477,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,ifrms,-2.963989687097819,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,6.408745248284424,sspls-v,0.42906003456115677,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,mcgs,-0.8110952383322143,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,sbps,0.07007095826453255,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,prculs-d,-1.731031667390919,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,prcus-p,-2.62139558051802,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,prcus-i,-3.4302714735066657,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,prcus-a,-1.5875308262621481,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,ifrms,-2.6743486967465477,"Lasso(alpha=0.1, max_iter=10000)"
0.1,22.0,6.4954600878354025,sspls-v,0.6657124562814902,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,mcgs,-0.5648376046387866,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,pos,0.005289320772624604,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,sbps,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,prculs-d,-1.59905209277513,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,prcus-p,-2.1052356635782785,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,prcus-i,-3.2929068107789012,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,prcus-a,-1.5620122566512957,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,ifrms,-2.864702620753944,"Lasso(alpha=0.1, max_iter=10000)"
0.1,23.0,6.534589377748323,sspls-v,0.5491630565365049,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,mcgs,-0.8726220351156266,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,pos,0.22241447267084266,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,sbps,-0.013891395850720632,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,prculs-d,-1.457345469908082,"Lasso(alpha=0.1, max_iter=10000)"
0.1,24.0,5.712582105527247,prcus-p,-3.218778139103104,"Lasso(alpha=0.1, max_iter=10000)"
