,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),lgi_mean,lgi_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct
0,9,lh,pFUS,48.0,25.0,82.0,2.775,0.024,0.125,0.047,1.0,0.0,-3.7454588413238525,-0.8292459845542908,-0.22576262056827545
0,9,rh,mFUS,191.0,135.0,343.0,2.769,0.019,0.163,0.037,4.0,0.3,-0.9427827596664429,2.9556846618652344,-0.055228956043720245
0,9,rh,pFUS,262.0,185.0,396.0,2.783,0.026,0.127,0.026,2.0,0.3,1.9114512205123901,6.50582218170166,0.1119743138551712
0,10,lh,mFUS,14.0,11.0,41.0,2.841,0.008,0.14,0.016,0.0,0.0,-0.2842058539390564,0.41045135259628296,-0.016256364062428474
0,10,lh,pFUS,206.0,147.0,584.0,2.826,0.033,0.105,0.023,4.0,0.1,-3.517237424850464,0.4371137320995331,-0.20118334889411926
0,10,rh,mFUS,72.0,50.0,177.0,2.811,0.027,0.108,0.027,0.0,0.1,-1.007180094718933,3.512338399887085,-0.05765213444828987
0,10,rh,pFUS,203.0,131.0,308.0,2.868,0.028,0.147,0.025,3.0,0.3,2.0839335918426514,6.400489807128906,0.11928673088550568
0,11,lh,mFUS,108.0,75.0,296.0,2.664,0.031,0.121,0.029,2.0,0.1,-0.03373953327536583,4.705300807952881,-0.0020063992124050856
0,11,lh,pFUS,40.0,33.0,119.0,2.702,0.013,0.148,0.034,1.0,0.1,-3.2427947521209717,1.1753870248794556,-0.19284015893936157
0,11,rh,mFUS,239.0,156.0,552.0,2.829,0.029,0.122,0.042,5.0,0.3,-1.62669038772583,3.784749984741211,-0.09205865114927292
0,11,rh,pFUS,38.0,23.0,100.0,2.785,0.032,0.139,0.044,1.0,0.1,-3.5791988372802734,-0.5354357957839966,-0.20255619287490845
0,12,lh,mFUS,57.0,44.0,198.0,2.913,0.036,0.185,0.036,1.0,0.1,-1.0571271181106567,1.0008468627929688,-0.06313522160053253
0,12,lh,pFUS,252.0,195.0,479.0,2.995,0.02,0.133,0.017,2.0,0.2,3.0779104232788086,6.588602542877197,0.18382325768470764
0,12,rh,mFUS,140.0,99.0,269.0,2.93,0.032,0.105,0.021,1.0,0.1,5.031944274902344,8.655119895935059,0.28130820393562317
0,12,rh,pFUS,475.0,338.0,1200.0,2.898,0.04,0.146,0.037,7.0,0.8,-2.4017281532287598,5.286198139190674,-0.13426733016967773
0,13,lh,mFUS,171.0,115.0,414.0,2.581,0.039,0.131,0.022,2.0,0.2,0.3440910577774048,5.379065036773682,0.02035555988550186
0,13,rh,mFUS,184.0,119.0,389.0,2.601,0.016,0.103,0.018,2.0,0.1,-2.82843017578125,1.34347665309906,-0.16335420310497284
0,13,rh,pFUS,51.0,32.0,73.0,2.65,0.012,0.121,0.021,1.0,0.0,0.08622973412275314,3.6906495094299316,0.004980143159627914
0,14,lh,mFUS,57.0,40.0,139.0,2.54,0.011,0.076,0.015,0.0,0.0,-0.23681466281414032,2.6298434734344482,-0.0145608801394701
0,14,lh,pFUS,59.0,39.0,89.0,2.643,0.016,0.089,0.019,0.0,0.0,4.428121089935303,7.133965015411377,0.27226921916007996
0,14,rh,mFUS,6.0,5.0,13.0,2.495,0.005,0.213,0.038,0.0,0.0,1.5423308610916138,2.014057159423828,0.08811679482460022
0,15,lh,mFUS,751.0,524.0,1248.0,2.759,0.032,0.115,0.017,6.0,0.6,3.608893632888794,7.991310119628906,0.22386780381202698
0,15,lh,pFUS,92.0,61.0,207.0,2.661,0.042,0.133,0.051,1.0,0.1,-1.7826564311981201,1.6040323972702026,-0.11058216542005539
0,15,rh,mFUS,64.0,53.0,191.0,2.59,0.008,0.211,0.052,2.0,0.1,-1.548264980316162,4.367126941680908,-0.09268833696842194
0,15,rh,pFUS,289.0,204.0,445.0,2.598,0.043,0.097,0.01,2.0,0.1,5.2603654861450195,8.200397491455078,0.314916729927063
0,16,lh,mFUS,104.0,71.0,225.0,2.882,0.031,0.134,0.037,1.0,0.2,-0.9677504301071167,1.116892695426941,-0.05852052941918373
0,16,rh,mFUS,174.0,130.0,312.0,2.632,0.037,0.126,0.038,3.0,0.3,0.05914517119526863,8.044527053833008,0.0035282373428344727
0,16,rh,pFUS,577.0,384.0,983.0,2.748,0.04,0.131,0.026,7.0,0.5,1.8817881345748901,8.839029312133789,0.11225602775812149
