,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_depth,sulcal_pit,gyral_crown,mean_pct_max_depth
0,10,lh,cortex,152217.0,100736.0,277179.0,2.443,0.617,0.121,0.025,1763.0,152.1,-0.009056740440428257,17.482746124267578,-13.084646224975586,-0.0005180391599424183
0,10,lh,PPA,1046.0,712.0,1706.0,2.413,0.467,0.123,0.025,11.0,1.1,5.269654273986816,11.554947853088379,-5.495548248291016,0.30142027139663696
0,10,rh,G_oc-temp_lat-fusifor,2498.0,1625.0,5989.0,2.828,0.499,0.142,0.03,44.0,3.0,-1.2347451448440552,6.400489807128906,-6.869615077972412,-0.0706782191991806
0,10,rh,cortex,152519.0,101854.0,282995.0,2.481,0.612,0.122,0.026,1801.0,158.9,-0.01683615893125534,17.469953536987305,-13.747875213623047,-0.0009637182811275125
0,10,rh,PPA,1094.0,734.0,1762.0,2.571,0.433,0.103,0.017,8.0,0.7,5.352410793304443,11.634461402893066,-5.884416103363037,0.3063780665397644
0,11,lh,G_oc-temp_lat-fusifor,1606.0,1121.0,4213.0,2.83,0.576,0.135,0.028,29.0,1.7,-1.0883232355117798,5.705503463745117,-7.847878932952881,-0.06471962481737137
0,11,lh,cortex,124223.0,84073.0,232817.0,2.469,0.643,0.125,0.027,1466.0,133.8,-0.011515423655509949,16.81597137451172,-15.110795021057129,-0.0006847932818345726
0,11,lh,PPA,959.0,652.0,1756.0,2.582,0.518,0.123,0.021,10.0,0.9,4.478569984436035,9.778029441833496,-3.6908702850341797,0.266328364610672
0,11,rh,G_oc-temp_lat-fusifor,2263.0,1501.0,5409.0,2.757,0.665,0.134,0.033,44.0,2.8,-0.6991482377052307,7.203011512756348,-7.193935394287109,-0.03956662863492966
0,11,rh,cortex,124330.0,84687.0,235198.0,2.475,0.624,0.124,0.026,1468.0,134.9,-0.015725189819931984,17.670150756835938,-14.720807075500488,-0.0008899319218471646
