"","sub","hemi","pif","lft","fta","colfs","mosp","mosa","tos","losa","losp","sf"
"177",277,"rh",4.555555556,4.394444444,2.162698413,2.6,3.068,2.478,2.593,2.201,2.369,3.069
"178",278,"rh",3.555555556,3.111111111,3.722222222,2.334,2.917,2.908,2.542,2.453,2.712,2.921
"179",280,"rh",3.666666667,3.088888889,4,2.25,2.67,2.45,2.444,1.928,2.548,2.967
"180",281,"rh",3.055555556,3.766666667,2.325396825,2.578,3.328,3.285,2.715,2.645,2.887,2.939
"181",282,"rh",4,3.422222222,2.095238095,2.464,2.944,2.72,2.319,2.33,2.911,3.166
"182",285,"rh",4.638888889,4.033333333,2.78968254,2.412,3.493,3.217,2.483,2.527,2.554,3.064
"183",288,"rh",4.611111111,4.111111111,3.071428571,2.709,2.702,2.538,2.515,2.522,2.771,3.302
"184",290,"rh",4.833333333,4.133333333,3.591269841,2.39,2.8,3.047,2.542,3.91,2.671,2.898
"185",291,"rh",4,3.616666667,2.904761905,2.239,2.522,2.989,2.313,2.158,2.663,2.737
"186",292,"rh",4.638888889,3.555555556,2.531746032,2.511,3.42,3.103,2.68,3.381,2.89,2.824
"187",293,"rh",2.416666667,2,1.746031746,2.169,2.665,3.165,2.434,2.875,2.765,2.966
"188",294,"rh",3.361111111,3.177777778,1.948412698,2.236,2.501,2.889,2.458,2.511,2.621,2.94
"189",295,"rh",4.527777778,3.361111111,3.511904762,2.596,2.981,2.933,2.458,3.028,2.334,2.595
"190",296,"rh",3.777777778,1.761111111,1.900793651,2.633,2.782,3.167,2.364,2.933,2.399,2.782
"191",297,"rh",4.166666667,3.616666667,2.619047619,2.519,2.66,2.919,3.102,2.708,2.375,2.796
"192",299,"rh",3.75,3.472222222,2.833333333,2.383,2.583,2.808,2.246,2.512,2.123,2.987
"193",301,"rh",4.027777778,3.461111111,3.575396825,2.723,2.749,3.086,2.839,2.723,2.067,3.346
"194",303,"rh",3.833333333,2.833333333,3.686507937,2.385,3.175,2.859,2.507,2.024,2.35,2.459
"195",308,"rh",4.666666667,1,3.476190476,2.678,2.406,3.321,2.322,3.265,2.535,3.53
"196",310,"rh",3.472222222,2.916666667,3.53968254,2.375,2.59,2.776,2.186,2.73,2.491,2.949
"197",311,"rh",3.444444444,3.838888889,4.099206349,2.3,3.214,2.583,2.386,2.181,2.627,2.675
"198",312,"rh",4.055555556,4.172222222,3.146825397,2.325,2.704,2.788,2.308,2.19,2.307,2.732
"199",314,"rh",3.611111111,3.277777778,2.912698413,2.666,3.179,3.184,2.645,2.636,2.283,3.1
"200",318,"rh",4.583333333,4.238888889,3.976190476,2.463,2.526,2.328,2.097,2.308,2.27,2.721
"201",319,"rh",4.361111111,3.861111111,3.468253968,2.616,3.056,3.158,2.552,2.379,2.378,3.18
"202",320,"rh",4,2.85,2.51984127,2.362,3.116,2.487,2.309,2.844,2.502,3.142
"203",321,"rh",2.111111111,2.494444444,1.746031746,2.437,3.121,3.571,2.627,3.453,3.134,3.361
"204",323,"rh",3.833333333,2.533333333,2.26984127,2.664,2.928,2.45,2.389,2.071,2.443,3.329
"205",325,"rh",3.361111111,3.15,3.234126984,2.175,2.601,2.929,2.418,2.124,2.861,3.024
"206",332,"rh",3.166666667,1.983333333,2.535714286,3.082,3.079,2.765,2.508,2.646,2.876,3.257
"207",333,"rh",4.388888889,2.783333333,3.154761905,2.519,3.025,2.896,2.564,2.607,2.733,3.055
"208",336,"rh",3.444444444,3.466666667,3.686507937,2.41,3.262,3.297,2.389,2.294,2.389,2.764
"209",342,"rh",4.305555556,3.011111111,3.444444444,2.309,2.891,3.45,2.54,2.927,2.781,2.07
"210",345,"rh",4.194444444,1.961111111,2.948412698,2.097,2.903,2.035,2.497,2.623,2.551,2.669
"211",346,"rh",3.833333333,3.916666667,2.55952381,2.495,3.03,2.553,2.434,2.409,2.412,3.39
