"","X","sub","hemi","species","X.1","label","vertices","total_surface_area_.mm.2..x","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","normalized_SA"
"208",530,"108525","rh","human",1367,"csts-1",940,684,1897,3.077,0.406,0.119,0.02,6,0.9,0.299696952104568,1.23239266872406,0.164423748850822,0.0086920056421791
"209",531,"108525","rh","human",1368,"csts-2",838,593,1454,2.745,0.304,0.092,0.012,3,0.4,0.352346330881119,1.0531952381134,0.193308934569359,0.00753561307867282
"210",532,"108525","rh","human",1369,"csts-3",1272,922,2217,2.767,0.313,0.105,0.014,6,0.9,0.50406688451767,1.5157573223114,0.276547908782959,0.0117164169621186
"211",537,"108828","lh","human",1374,"csts-1",651,462,975,2.335,0.293,0.117,0.016,4,0.5,0.0857061445713043,0.727514803409576,0.0462788194417953,0.00512178087203308
"212",538,"108828","lh","human",1375,"csts-2",976,710,1565,2.443,0.298,0.093,0.014,4,0.5,0.576372861862183,1.59182572364807,0.311224579811096,0.00787113510637119
"213",539,"108828","lh","human",1376,"csts-3",553,397,873,2.378,0.306,0.103,0.013,3,0.3,0.246236398816109,1.1041671037674,0.132960483431816,0.00440118399609769
"214",544,"108828","rh","human",1381,"csts-1",986,710,1587,2.562,0.309,0.119,0.019,6,0.9,0.271290451288223,1.08579134941101,0.148926094174385,0.00782610612640815
"215",545,"108828","rh","human",1382,"csts-2",1657,1152,2564,2.49,0.343,0.087,0.011,6,0.9,0.644888460636139,1.45487463474274,0.354014366865158,0.0126981327572143
"216",546,"108828","rh","human",1383,"csts-3",614,457,1032,2.462,0.368,0.113,0.017,4,0.4,0.441360712051392,1.26075887680054,0.242286950349808,0.00503736690108243
"217",551,"109123","lh","human",1388,"csts-1",218,151,385,2.927,0.464,0.118,0.016,2,0.2,-0.13763253390789,0.11966647952795,-0.0752654224634171,0.00167287069041921
"218",552,"109123","lh","human",1389,"csts-2",1224,858,2058,2.671,0.323,0.089,0.013,4,0.8,0.535620808601379,1.34098851680756,0.292908400297165,0.00950545067801117
"219",553,"109123","lh","human",1390,"csts-3",673,469,1054,2.673,0.385,0.113,0.02,4,0.6,0.352000385522842,1.12134230136871,0.19249415397644,0.00519586989275902
